"vocabulary_id","word","type","cefr","definition","example","category_id"
2660,intellectual,adjective,b2,connected with or using a person’s ability to think in a logical way and understand things ,Gifted children typically show great intellectual curiosity and a wide range of interests.,3
2661,intellectual,noun,c1,a person who is well educated and enjoys activities in which they have to think seriously about things,He was a leading intellectual of his day.,3
2662,intelligence,noun,b1,"the ability to learn, understand and think in a logical way about things; the ability to do this well",a person of high/average/low intelligence,3
2663,intelligent,adjective,a2,"good at learning, understanding and thinking in a logical way about things; showing this ability",a highly intelligent child,3
2664,intend,verb,b1,"to have a plan, result or purpose in your mind when you do something",We finished later than we had intended.,10
2665,intended,adjective,b2,that you are trying to achieve or reach,the intended purpose ,10
2666,intense,adjective,b2,very great; very strong,We were all suffering in the intense heat.,7
2667,intensify,verb,c1,to increase in degree or strength; to make something increase in degree or strength,Violence intensified during the night.,10
2668,intensity,noun,c1,the state or quality of being intense,intensity of light/sound/colour,6
2669,intensive,adjective,c1,involving a lot of work or activity done in a short time,an intensive language course,3
2670,intent,noun,c1,what you intend to do ,She denies possessing the drug with intent to supply.,3
2671,intention,noun,b1,what you intend or plan to do; your aim,"intention of doing something, I have no intention of going to the wedding.",1
2672,interact,verb,b2,"to communicate with somebody, especially while you work, play or spend time with them",Teachers have a limited amount of time to interact with each child.,8
2673,interaction,noun,b2,"the act of communicating with somebody, especially while you work, play or spend time with them",the interaction between performers and their audience,2
2674,interactive,adjective,c1,that allows information to be passed continuously and in both directions between a computer or other device and the person who uses it,interactive displays/video,8
2675,interest,noun,a1,the feeling that you have when you want to know or learn more about somebody/something,Her research has generated interest around the world.,2
2676,interest,verb,a1,to attract your attention and make you feel interested; to make yourself give your attention to something,"interest somebody, Politics doesn't interest me.",3
2677,interested,adjective,a1,giving your attention to something because you enjoy finding out about it or doing it; showing interest in something and finding it exciting,He sounded genuinely interested.,3
2678,interesting,adjective,a1,"attracting your attention because it is/they are special, exciting or unusual",The article raises several interesting questions.,7
2679,interface,noun,c1,"the way a computer program presents information to a user or receives information from a user, in particular the layout of the screen and the menus",the user interface,8
