"vocabulary_id","word","type","cefr","definition","example","category_id"
1,a,indefinite article,a1,used before countable or singular nouns referring to people or things that have not already been mentioned,a man/horse/unit,10
2,abandon,verb,b2,"to leave somebody, especially somebody you are responsible for, with no intention of returning","abandon somebody, The baby had been abandoned by its mother.",9
3,ability,noun,a2,the fact that somebody/something is able to do something,People with the disease may lose their ability to communicate.,3
4,able,adjective,a2,"to have the skill, intelligence, opportunity, etc. needed to do something",You must be able to speak French for this job.,10
5,abolish,verb,c1,"to officially end a law, a system or an institution",This tax should be abolished.,10
6,abortion,noun,c1,the deliberate ending of a pregnancy at an early stage,to support/oppose abortion,6
7,about,adverb,a1,a little more or less than; a little before or after,It costs about $10.,10
8,about,preposition,a1,on the subject of somebody/something; in connection with somebody/something,a book about flowers,10
9,above,adverb,a1,at or to a higher place,Put it on the shelf above.,10
10,above,preposition,a1,at or to a higher place or position than something/somebody,The water came above our knees.,10
11,abroad,adverb,a2,in or to a foreign country,to go/travel/live/study abroad ,5
12,absence,noun,c1,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,"in somebody's absence, The decision was made in my absence (= while I was not there).",10
13,absent,adjective,c1,"not in a place because of illness, etc.",He was absent from work for two weeks.,3
14,absolute,adjective,b2,total and complete,I've joined a class for absolute beginners.,10
15,absolutely,adverb,b1,used to emphasize that something is completely true,You're absolutely right.,10
16,absorb,verb,b2,"to take in a liquid, gas or other substance from the surface or space around","absorb something, Plants absorb carbon dioxide from the air.",9
17,abstract,adjective,b2,"based on general ideas and not on any particular real person, thing or situation",abstract knowledge/principles,3
18,absurd,adjective,c1,extremely silly; not logical and sensible,That uniform makes the guards look absurd.,10
19,abundance,noun,c1,a large quantity that is more than enough,The brochure promised beautiful walks with an abundance of wildlife.,9
20,abuse,noun,c1,the use of something in a way that is wrong or harmful,alcohol/drug abuse,6
21,abuse,verb,c1,"to make bad use of something, or to use so much of something that it harms your health",to abuse alcohol/drugs,6
22,academic,adjective,b1,"connected with education, especially studying in schools and universities",high/low academic standards,3
23,academic,noun,b2,a person who teaches and/or does research at a university or college,a leading/distinguished/prominent academic,3
24,academy,noun,c1,a school or college for special training,She trained at the Royal Academy of Music.,3
25,accelerate,verb,c1,to happen faster or earlier; to make something happen faster or earlier,Inflation continues to accelerate.,8
26,accent,noun,b2,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language",a northern/Dublin/Scottish accent,3
27,accept,verb,a2,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",He asked me to marry him and I accepted.,10
28,acceptable,adjective,b2,agreed or approved of by most people in a society,Children must learn socially acceptable behaviour.,10
29,acceptance,noun,c1,"the act of accepting a gift, an invitation, an offer, etc.",Please confirm your acceptance of this offer in writing.,3
30,access,noun,b1,the opportunity or right to use something or to see somebody/something,High-speed internet access has become a necessity.,8
31,access,verb,b1,to open a computer file or use a computer system,Most people use their phones to access the internet.,8
32,accessible,adjective,c1,"that can be reached, entered, used, seen, etc.",The remote desert area is accessible only by helicopter.,8
33,accident,noun,a2,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",a car/road/traffic accident,6
34,accidentally,adverb,b2,by chance; in a way that was not planned,"As I turned around, I accidentally hit him in the face.",10
35,accommodate,verb,b2,"to provide somebody with a room or place to sleep, live or sit",The hotel can accommodate up to 500 guests.,10
36,accommodation,noun,b1,"a place to live, work or stay in",rented/temporary accommodation,5
37,accompany,verb,b2,to travel or go somewhere with somebody/something,"accompany somebody/something + adv./prep., His wife accompanied him on the trip.",10
38,accomplish,verb,b2,to succeed in doing or completing something,The first part of the plan has been safely accomplished.,2
39,accomplishment,noun,c1,an impressive thing that is done or achieved after a lot of work,It was one of the President's greatest accomplishments.,2
40,accordance,noun,c1,according to a rule or the way that somebody says that something should be done,in accordance with legal requirements,10
41,according to,preposition,a2,as stated or reported by somebody/something,"According to Mick, it's a great movie.",10
42,accordingly,adverb,c1,in a way that is appropriate to what has been done or said in a particular situation,We have to discover his plans and act accordingly.,10
43,account,noun,b1,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.",I don't have a bank account.,2
44,account,verb,b2,to have the opinion that somebody/something is a particular thing,"be accounted + adj., In English law a person is accounted innocent until they are proved guilty.",2
45,accountability,noun,c1,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,proposals for greater police accountability,2
46,accountable,adjective,c1,responsible for your decisions or actions and expected to explain them when you are asked,The state spends taxpayers’ money and should be held accountable.,10
47,accountant,noun,b2,a person whose job is to keep or check financial accounts,We talked to the company’s chief accountant.,2
48,accumulate,verb,c1,to gradually get more and more of something over a period of time,I seem to have accumulated a lot of books.,2
49,accumulation,noun,c1,the process of gradually increasing or getting more and more of something over a period of time,the accumulation of wealth,9
50,accuracy,noun,b2,the state of being exact or correct; the ability to do something with skill and without making mistakes,They questioned the accuracy of the information in the file.,3
51,accurate,adjective,b2,correct and true in every detail,an accurate description/picture of something,10
52,accurately,adverb,b2,in a way that is correct and true in every detail,The article accurately reflects public opinion.,10
53,accuse,verb,b2,to say that somebody has done something wrong or is guilty of something,"accuse somebody of something, to accuse somebody of murder/a crime",2
54,accused,noun,c1,a person who is on trial for committing a crime,The accused was found innocent.,2
55,achieve,verb,a2,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",He had finally achieved success.,2
56,achievement,noun,b1,"a thing that somebody has done successfully, especially using their own effort and skill",the greatest scientific achievement of the decade,2
57,acid,adjective,c1,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,"Rye is tolerant of poor, acid soils.",6
58,acid,noun,b2,"a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt. Acids usually have a bitter sharp taste and can often burn holes in or damage things they touch.",The acid burned a hole in her coat.,6
59,acknowledge,verb,b2,to accept that something is true,"acknowledge something, She refuses to acknowledge the need for reform.",10
60,acquire,verb,b2,"to gain something by your own efforts, ability or behaviour",She has acquired a good knowledge of English.,3
61,acquisition,noun,c1,"the act of getting something, especially knowledge, a skill, etc.",theories of child language acquisition,2
62,acre,noun,c1,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres,"3 000 acres of parkland",9
63,across,adverb,a1,from one side to the other side,It's too wide. We can't swim across.,10
64,across,preposition,a1,from one side to the other side of something,He walked across the field.,10
65,act,noun,b1,a particular thing that somebody does,You have committed a serious criminal act.,2
66,act,verb,a2,to do something for a particular purpose or in order to deal with a situation,"act to do something, It is vital that we act to stop the destruction of the rainforests.",7
67,action,noun,a1,the process of doing something in order to make something happen or to deal with a situation,The time has come for action if these beautiful animals are to survive.,2
68,activate,verb,b2,to make something such as a device or chemical process start working,The burglar alarm is activated by movement.,8
69,activation,noun,c1,the act of making something such as a device or chemical process start working,The activation of several target genes results in two major effects.,8
70,active,adjective,a2,"always busy doing things, especially physical activities",Staying physically active in later years can also keep you feeling younger. ,6
71,activist,noun,c1,"a person who works to achieve political or social change, especially as a member of an organization with particular aims",human/civil/animal rights activists,7
72,activity,noun,a1,a thing that you do for interest or pleasure,leisure/outdoor/recreational activities,7
73,actor,noun,a1,"a person who performs on the stage, on television or in films, especially as a profession",Both lead actors (= the ones who play the main parts) are outstanding.,2
74,actress,noun,a1,"a woman who performs on the stage, on television or in films, especially as a profession",The Oscar-winning actress has taken a break from acting.,2
75,actual,adjective,b2,used to emphasize something that is real or exists in fact,James looks younger than his wife but in actual fact (= really) he is five years older.,10
76,actually,adverb,a2,"used in speaking to emphasize a fact or a comment, or that something is really true",What did she actually say?,10
77,acute,adjective,c1,very serious or severe,There is an acute shortage of water.,6
78,ad,noun,b1,"a notice, picture or film telling people about a product, job or service",The TV ads were first run last year.,10
79,adapt,verb,b2,to change your behaviour in order to deal more successfully with a new situation,It's amazing how soon you adapt.,3
80,adaptation,noun,c1,"the action or process of changing something, or of being changed, to suit a new purpose or situation",the adaptation of buildings for military purposes,3
81,add,verb,a1,"to put something together with something else so as to increase the size, number, amount, etc.","add something, Next add the flour.",8
82,addiction,noun,b2,"the condition of being unable to stop using or doing something as a habit, especially something harmful",cocaine addiction,6
83,addition,noun,b1,a thing that is added to something else,All of these technologies are fairly recent additions.,3
84,additional,adjective,b2,more than was first mentioned or is usual,additional resources/funds/security/funding/costs,10
85,additionally,adverb,b2,in a way that is more than was first mentioned or is usual,"Additionally, the bus service will run on Sundays, every two hours.",10
86,address,noun,a1,"details of where somebody lives or works and where letters, etc. can be sent",What's your name and address?,2
87,address,verb,b2,to think about a problem or a situation and decide how you are going to deal with it,"address something, Your essay does not address the real issues.",8
88,adequate,adjective,b2,"enough in quantity, or good enough in quality, for a particular purpose or need",They'll need an adequate supply of hot water.,10
89,adequately,adverb,b2,"in a way that is enough in quantity, or good enough in quality, for a particular purpose or need",Are you adequately insured?,10
90,adhere,verb,c1,to stick to something,"Once in the bloodstream, the bacteria adhere to the surface of the red cells.",8
91,adjacent,adjective,c1,next to something,The planes landed on adjacent runways.,5
92,adjust,verb,b2,to change something slightly to make it more suitable for a new set of conditions or to make it work better,"adjust something, Watch out for sharp bends and adjust your speed accordingly.",2
93,adjustment,noun,c1,a small change made to something in order to correct or improve it,I've made a few adjustments to the design.,2
94,administer,verb,c1,"to manage and organize the affairs of a company, an organization, a country, etc.",to administer a charity/fund/school,2
95,administration,noun,b2,"the activities that are done in order to plan, organize and run a business, school or other institution",Administration costs are passed on to the customer.,2
96,administrative,adjective,c1,connected with organizing the work of a business or an institution,an administrative job/assistant/error,2
97,administrator,noun,c1,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.",Such organizational decisions are made by the hospital administrators.,2
98,admire,verb,b1,to respect somebody for what they have done or to respect their qualities,"admire somebody/something, I really admire your enthusiasm.",7
99,admission,noun,c1,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization",Hospital admission is not necessary in most cases.,3
100,admit,verb,b1,"to agree, often unwillingly, that something is true","It was a stupid thing to do, I admit.",10
101,adolescent,noun,c1,a young person who is developing from a child into an adult,adolescents between the ages of 13 and 18 and the problems they face,1
102,adopt,verb,b2,to take somebody else’s child into your family and become its legal parent(s),a campaign to encourage childless couples to adopt,1
103,adoption,noun,c1,the act of adopting a child; the fact of being adopted,She put the baby up for adoption.,1
104,adult,adjective,a2,fully grown or developed,preparing young people for adult life,1
105,adult,noun,a1,a fully grown person who is legally responsible for their actions,Children must be accompanied by an adult.,1
106,advance,adjective,b2,done or given before something is going to happen,Please give us advance warning of any changes.,2
107,advance,noun,b2,progress or a development in a particular activity or area of understanding,We live in an age of rapid technological advance.,2
108,advance,verb,b2,"if knowledge, technology, etc. advances, it develops and improves",Technology is advancing at an incredibly rapid pace.,2
109,advanced,adjective,b1,"having the most modern and recently developed ideas, methods, etc.",Scientists are working on highly advanced technology to replace fossil fuels.,3
110,advantage,noun,a2,a thing that helps you to be better or more successful than other people,a distinct/significant/huge advantage,3
111,adventure,noun,a2,"an unusual, exciting or dangerous experience, journey or series of events",her adventures travelling in Africa,7
112,adverse,adjective,c1,negative and unpleasant; not likely to produce a good result,adverse change/circumstances/weather conditions,6
113,advertise,verb,a2,to tell the public about a product or a service in order to encourage people to buy or to use it,If you want to attract customers you need to advertise.,2
114,advertisement,noun,a2,"a notice, picture or film telling people about a product, job or service",a newspaper/television advertisement,2
115,advertising,noun,a2,"the activity and industry of advertising things to people on television, in newspapers, on the internet, etc.",Cigarette advertising has been banned.,2
116,advice,noun,a1,an opinion or a suggestion about what somebody should do in a particular situation,expert/practical/professional/medical advice,2
117,advise,verb,b1,to tell somebody what you think they should do in a particular situation,"advise against doing something, I would strongly advise against going out on your own.",10
118,advocate,noun,c1,a person who supports or speaks in favour of somebody or of a public plan or action,"advocate for something/somebody, an advocate for hospital workers",2
119,advocate,verb,c1,to support something publicly,"advocate something, The group does not advocate the use of violence.",2
120,aesthetic,adjective,c1,connected with beauty and art and the understanding of beautiful things,the aesthetic appeal of the songs,7
121,affair,noun,b2,events that are of public interest or political importance,world/international affairs,1
122,affect,verb,a2,to produce a change in somebody/something,How will these changes affect us?,10
123,affection,noun,c1,the feeling of liking or loving somebody/something very much and caring about them,Children need lots of love and affection.,1
124,afford,verb,b1,to have enough money to be able to buy or do something,"afford something, Can we afford a new car?",10
125,affordable,adjective,b2,cheap enough that people can afford to pay it or buy it,We offer quality products at affordable prices.,10
126,after,adverb,a2,later in time; afterwards,"That was in 1996. Soon after, I heard that he'd died.",10
127,after,conjunction,a2,at a time later than something; when something has finished,I'll call you after I've spoken to them.,10
128,after,preposition,a1,later than something; following something in time,We'll leave after lunch.,10
129,aftermath,noun,c1,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc.","in the aftermath of something, A lot of rebuilding took place in the aftermath of the war.",9
130,afterwards,adverb,b2,at a later time; after an event that has already been mentioned,Afterwards she was sorry for what she'd said.,10
131,again,adverb,a1,one more time; on another occasion,This must never happen again.,10
132,against,preposition,a2,opposing or disagreeing with somebody/something,the fight against terrorism,10
133,age,noun,a1,the number of years that a person has lived or a thing has existed,You're the same age as my brother.,6
134,age,verb,b1,to become older,"As he aged, his memory got worse.",3
135,aged,adjective,b1,of the age of,They have two children aged six and nine.,4
136,agency,noun,b2,a business or an organization that provides a particular service especially when representing other businesses or organizations,She works for an advertising agency.,2
137,agenda,noun,b2,a list of items to be discussed at a meeting,We have a very full agenda of issues to discuss.,2
138,agent,noun,b1,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.",Our agent in New York deals with all US sales.,2
139,aggression,noun,c1,feelings of anger and hate that may result in threatening or violent behaviour,The research shows that computer games may cause aggression.,6
2226,girl,noun,a1,a female child,a little girl of six,1
140,aggressive,adjective,b2,"angry, and behaving in a threatening way; ready to attack",Seals have been known to exhibit aggressive behaviour towards swimmers.,6
141,ago,adverb,a1,used in expressions of time with the simple past tense to show how far in the past something happened,two weeks/months/years ago,10
142,agree,verb,a1,to have the same opinion as somebody; to say that you have the same opinion,"When he said that, I had to agree.",10
143,agreement,noun,b1,"an arrangement, a promise or a contract made with somebody",an international peace agreement,2
144,agricultural,adjective,c1,connected with the science or practice of farming,agricultural policy/land/production/development,9
145,agriculture,noun,b2,the science or practice of farming,The number of people employed in agriculture has fallen in the last decade.,9
146,ah,exclamation,a2,"used to express surprise, pleasure or sympathy, or when you disagree with somebody","Ah, there you are!",10
147,ahead,adverb,b1,further forward in space or time; in front,I'll run ahead and warn them.,10
148,aid,noun,b2,"money, food, etc. that is sent to help countries in difficult situations",humanitarian/food/medical aid,6
149,aid,verb,b2,"to help somebody/something to do something, especially by making it easier","aid in something, The test is designed to aid in the diagnosis of various diseases.",6
150,aide,noun,c1,"a person who helps another person, especially a politician, in their job",White House aides,2
151,AIDS,noun,b2,a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’),the AIDS epidemic,6
152,aim,noun,b1,the purpose of doing something; what somebody is trying to achieve,the stated aims of the study ,7
153,aim,verb,b1,to try or plan to achieve something,He has always aimed high (= tried to achieve a lot).,7
154,air,noun,a1,the mixture of gases that surrounds the earth and that we breathe,Let's go out for some fresh air.,9
155,aircraft,noun,b2,any vehicle that can fly and carry goods or passengers,fighter/transport/military aircraft,5
156,airline,noun,a2,a company that provides regular flights to take passengers and goods to different places,an airline pilot/passenger,5
157,airport,noun,a1,a place where planes land and take off and that has buildings for passengers to wait in,Gatwick Airport,5
158,alarm,noun,b1,a loud noise or a signal that warns people of danger or of a problem,She decided to sound the alarm (= warn people that the situation was dangerous).,8
159,alarm,verb,b2,to make somebody anxious or afraid,I can only guess that they don't want to alarm the public yet.,8
160,albeit,conjunction,c1,although,"He finally agreed, albeit reluctantly, to help us.",10
161,album,noun,b1,"a book in which you keep photographs, stamps, etc.",a photo album,7
162,alcohol,noun,b1,"drinks such as beer, wine, etc. that can make people drunk",He never drinks alcohol.,4
163,alcoholic,adjective,b1,connected with or containing alcohol,alcoholic drinks/beverages,6
164,alert,adjective,c1,able to think quickly; quick to notice things,Suddenly he found himself awake and fully alert.,6
165,alert,noun,c1,a situation in which people are watching for danger and ready to deal with it,"on the alert (for something), Police are warning the public to be on the alert for suspicious packages.",6
166,alert,verb,c1,to warn somebody about a dangerous situation or one that requires immediate action,"alert somebody, Neighbours quickly alerted the emergency services.",6
167,alien,adjective,c1,strange and frightening; different from what you are used to,an alien environment,9
168,alien,noun,b2,a person who is not a citizen of the country in which they live or work,an illegal alien,9
169,align,verb,c1,"to arrange something in the correct position, or to be in the correct position, in relation to something else, especially in a straight line",Make sure the shelf is aligned with the top of the cupboard.,10
170,alignment,noun,c1,arrangement in a straight line,"the alignment of the sun, moon and earth at a particular time",2
171,alike,adjective,c1,very similar,My sister and I do not look alike.,10
172,alike,adverb,c1,in a very similar way,They tried to treat all their children alike.,10
173,alive,adjective,a2,living; not dead,Is your mother still alive?,6
174,all,adverb,a2,completely,She was dressed all in white.,10
175,all,determiner,a1,the whole number of,"All horses are animals, but not all animals are horses.",10
176,all,pronoun,a1,the whole number or amount,All of the food has gone.,10
177,all right,adjective,a2,acceptable; in an acceptable manner,Is the coffee all right?,10
178,all right,adverb,a2,acceptable; in an acceptable manner,Is the coffee all right?,10
179,all right,exclamation,a2,used to check that somebody agrees or understands,"We've got to get up early, all right?",10
180,allege,verb,c1,to state something as a fact but without giving proof,"allege (that)…, The prosecution alleges (that) she was driving carelessly.",10
181,allegedly,adverb,c1,expressed as though something is a fact but without giving any proof,crimes allegedly committed during the war,10
182,alliance,noun,c1,"an agreement between countries, political parties, etc. to work together in order to achieve something that they all want",to form/make an alliance,2
183,allocate,verb,c1,to give something officially to somebody/something for a particular purpose,"allocate something (for something), A large sum has been allocated for buying new books for the library.",2
184,allocation,noun,c1,"an amount of money, space, etc. that is given to somebody for a particular purpose",We have spent our entire allocation for the year.,2
185,allow,verb,a2,to let somebody/something do something; to let something happen or be done,"allow somebody/something to do something, His parents won't allow him to stay out late.",10
186,allowance,noun,c1,an amount of money that is given to somebody regularly or for a particular purpose,an allowance of $20 a day,1
187,ally,noun,c1,"a country that has agreed to help and support another country, especially in case of a war",our European/NATO allies,1
188,almost,adverb,a2,not quite,I like almost all of them.,10
189,alone,adjective,a2,without any other people,"not alone in, Tom is not alone in finding Rick hard to work with.",7
190,alone,adverb,a2,without any other people,"not alone in, Tom is not alone in finding Rick hard to work with.",7
191,along,adverb,a2,forward,I was just walking along singing to myself.,10
192,along,preposition,a2,from one end to or towards the other end of something,They walked slowly along the road.,10
193,alongside,preposition,b2,next to or at the side of something,A police car pulled up alongside us.,10
194,already,adverb,a2,before now or before a particular time in the past,"‘Lunch?’ ‘No thanks, I've already eaten.’",10
195,also,adverb,a1,in addition; too,She's fluent in French and German. She also speaks a little Italian.,10
196,alter,verb,b2,to become different; to make somebody/something different,Prices did not alter significantly during 2019.,10
197,alternative,adjective,b1,that can be used instead of something else,The road was closed so we had to find an alternative route.,3
198,alternative,noun,a2,a thing that you can choose to do or have out of two or more possibilities,The car is too expensive so we're trying to find a cheaper alternative.,6
199,although,conjunction,a2,used for introducing a statement that makes the main statement in a sentence seem surprising,"Although the sun was shining, it wasn't very warm.",10
200,altogether,adverb,b2,(used to emphasize something) completely; in every way,The train went slower and slower until it stopped altogether.,10
201,aluminium,noun,c1,"a chemical element. Aluminium is a light, silver-grey metal used for making pans, etc.",aluminium saucepans/window frames,9
202,always,adverb,a1,at all times; on every occasion,There's almost always somebody at home in the evenings.,10
203,amateur,adjective,c1,"doing something for pleasure or interest, not as a job",an amateur photographer,7
204,amateur,noun,c1,"a person who takes part in a sport or other activity for pleasure, not as a job",The tournament is open to both amateurs and professionals.,7
205,amazed,adjective,b1,very surprised,an amazed look,7
206,amazing,adjective,a1,"very surprising, especially in a way that you like or admire",an amazing feat/story/experience,7
207,ambassador,noun,c1,an official who lives in a foreign country as the senior representative there of their own country,the British Ambassador to Italy/in Rome,2
208,ambition,noun,b1,something that you want to do or achieve very much,She had fulfilled her lifelong ambition.,7
209,ambulance,noun,b2,"a vehicle with special equipment, used for taking sick or injured people to a hospital",Call an ambulance!,6
210,amend,verb,c1,"to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it",He asked to see the amended version.,10
211,amendment,noun,c1,a small change or improvement that is made to a document or proposed new law; the process of changing a document or proposed new law,to introduce/propose/table an amendment (= to suggest it),3
212,amid,preposition,c1,"in the middle of or during something, especially something that causes excitement or fear",He finished his speech amid tremendous applause.,10
213,among,preposition,a2,surrounded by somebody/something; in the middle of somebody/something,a house among the trees,10
214,amount,noun,a2,a quantity of something,I was amazed at the amount he could eat.,10
215,amount,verb,b2,"","",10
216,amusing,adjective,b2,funny and giving pleasure,an amusing story/game/incident,7
217,analogy,noun,c1,a comparison of one thing with another thing that has similar features; a feature that is similar,"analogy (between A and B), The teacher drew an analogy between the human heart and a pump.",3
218,analyse,verb,b1,"to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it","analyse something, The job involves collecting and analysing data.",3
219,analysis,noun,b1,the detailed study or examination of something in order to understand more about it; the result of the study,statistical/data analysis,3
220,analyst,noun,b2,a person whose job involves examining facts or materials in order to give an opinion on them,a political/financial analyst,2
221,ancestor,noun,b2,a person in your family who lived a long time ago,His ancestors had come to America from Ireland.,1
222,anchor,noun,c1,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place,to drop anchor,9
223,ancient,adjective,a2,belonging to a period of history that is thousands of years in the past,Archaeologists are excavating the ruined temples of this ancient civilization.,9
224,and,conjunction,a1,also; in addition to,bread and butter,10
225,angel,noun,c1,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings.",a host of angels,1
226,angle,noun,b2,"the space between two lines or surfaces that join, measured in degrees",a 45° angle,9
227,animal,noun,a1,"a creature that is not a bird, a fish, a reptile, an insect or a human",the animals and birds of South America,9
228,animation,noun,b2,"the process of making films, videos and computer games in which drawings, models or images of people and animals seem to move",computer/cartoon animation,7
229,ankle,noun,a2,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint,to sprain/break/twist your ankle,6
230,anniversary,noun,b2,a date that is an exact number of years after the date of an important or special event,on the anniversary of his wife’s death,1
231,announce,verb,b1,"to tell people something officially, especially about a decision, plans, etc.","announce something, He officially announced his intention to resign at today's press conference.",2
232,announcement,noun,b1,a spoken or written statement that informs people about something,to make an announcement,2
233,annoy,verb,b1,to make somebody slightly angry ,"annoy somebody, His constant joking was beginning to annoy her.",7
234,annoying,adjective,b1,making somebody feel slightly angry,This interruption is very annoying.,7
235,annual,adjective,b2,happening or done once every year,an annual meeting/event/report/conference,9
236,annually,adverb,b2,once a year,The exhibition is held annually.,10
237,anonymous,adjective,c1,with a name that is not known or that is not made public,an anonymous donor,10
238,another,determiner,a1,one more; an extra thing or person,Would you like another drink?,10
239,another,pronoun,a1,one more; an extra thing or person,Would you like another drink?,10
757,certainly,adverb,a2,without doubt,"Without treatment, she will almost certainly die.",10
240,answer,noun,a1,"something that you say, write or do to react to a question or situation","I rang the bell, but there was no answer.",10
241,answer,verb,a1,"to say, write or do something as a reaction to a question or situation","I repeated the question, but she didn't answer.",10
242,anticipate,verb,b2,to expect something,"anticipate something, We don't anticipate any major problems.",10
243,anxiety,noun,b2,the state of feeling nervous or worried that something bad is going to happen,acute/intense/deep anxiety,6
244,anxious,adjective,b2,feeling worried or nervous,The bus was late and Sue began to get anxious.,6
245,any,adverb,a2,"used to emphasize an adjective or adverb in negative sentences or questions, meaning ‘at all’",He wasn't any good at French.,10
246,any,determiner,a1,"used with uncountable or plural nouns in negative sentences and questions, after if or whether, and after some verbs such as prevent, ban, forbid, etc. to refer to an amount or a number of something, however large or small",I didn't eat any meat.,10
247,any,pronoun,a1,"used in negative sentences and in questions and after if or whether to refer to an amount or a number, however large or small",We need some more paint; there isn't any left.,10
248,any more,adverb,a2,"often used at the end of negative sentences and at the end of questions, to mean ‘any longer’",She doesn't live here any more.,10
249,anybody,pronoun,a2,"used instead of somebody in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",Is there anybody who can help me?,10
250,anyone,pronoun,a1,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc.",Is anyone there?,10
251,anything,pronoun,a1,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc.",Would you like anything else?,10
252,anyway,adverb,a2,used when adding something to support an idea or argument,It's too expensive and anyway the colour doesn't suit you.,10
253,anywhere,adverb,a2,used in negative sentences and in questions instead of somewhere,I can't see it anywhere.,5
254,anywhere,pronoun,a2,used in negative sentences and in questions instead of somewhere,I don't have anywhere to stay.,5
255,apart,adverb,b1,"separated by a distance, of space or time",The two houses stood 500 metres apart.,10
256,apartment,noun,a1,"a set of rooms for living in, usually on one floor of a building",an apartment building,5
257,apologize,verb,b1,to say that you are sorry for doing something wrong or causing a problem,Why should I apologize?,10
258,app,noun,a2,"a piece of software that you can download to a device such as a smartphone or tablet, for example to look up information or to play a game",You first need to install the app on your device.,8
259,apparatus,noun,c1,the tools or other pieces of equipment that are needed for a particular activity or task,a piece of laboratory apparatus,8
260,apparent,adjective,b2,easy to see or understand,Their devotion was apparent.,10
261,apparently,adverb,b2,according to what you have heard or read; according to the way something appears,Apparently they are getting divorced soon.,10
262,appeal,noun,b2,"a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police","appeal for something, to launch a TV appeal for donations to the charity",10
263,appeal,verb,b2,"to make a deeply felt request, especially for something that is needed immediately",I am appealing (= asking for money) on behalf of the famine victims.,10
264,appealing,adjective,c1,attractive or interesting,Spending the holidays in Britain wasn't a prospect that I found particularly appealing.,10
265,appear,verb,a2,to start to be seen,Three days later a rash appeared.,10
266,appearance,noun,a2,the way that somebody/something looks on the outside; what somebody/something seems to be,the physical/outward/external appearance of something,6
267,appetite,noun,c1,physical desire for food,He suffered from headaches and loss of appetite.,4
268,applaud,verb,c1,to show your approval of somebody/something by clapping your hands (= hitting your open hands together several times),He started to applaud and the others joined in.,7
269,apple,noun,a1,a round fruit with shiny red or green skin that is fairly hard and white inside,Peel and core the apples.,4
270,applicable,adjective,c1,that can be said to be true in the case of somebody/something,Give details of children where applicable (= if you have any).,10
271,applicant,noun,b2,"a person who makes a formal request for something (= applies for it), especially for a job, a place at a college or university, etc.",There were over 500 applicants for the job.,2
272,application,noun,b1,"a formal (often written) request for something, such as a job, permission to do something or a place at a college or university",a planning/patent/visa application,8
273,apply,verb,a2,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc.",You should apply in person/by letter.,2
274,appoint,verb,c1,to choose somebody for a job or position of responsibility,"appoint somebody, They have appointed a new head teacher at my son's school.",2
275,appointment,noun,b1,"a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work",I've got a dental appointment at 3 o'clock.,2
276,appreciate,verb,b1,to recognize the good qualities of somebody/something,Over the years he came to appreciate the beauty and tranquillity of the river.,10
277,appreciation,noun,c1,pleasure that you have when you recognize and enjoy the good qualities of somebody/something,She shows little appreciation of good music.,7
278,approach,noun,b2,a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task,She took the wrong approach in her dealings with them.,2
279,approach,verb,b2,to come near to somebody/something in distance or time,We could hear the train approaching.,2
280,appropriate,adjective,b2,"suitable, acceptable or correct for the particular circumstances",an appropriate response/measure/method,10
281,appropriately,adverb,b2,"in a way that is suitable, acceptable or correct for the particular circumstances",The government has been accused of not responding appropriately to the needs of the homeless.,10
282,approval,noun,b2,the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something,She desperately wanted to win her father's approval.,2
